Ticker,Date,Close,ChangePct,Market Cap,YTDpct,Beta,AnalystRating,RecentEarnings,UpcomingEarnings,Sector,FailReason
BHVN,2025-09-29,14.99,-0.07,1.59B,-59.79,1.74,,,,PHARMACEUTICAL PREPARATIONS,"MarketCap,YTD,StochRSI,MA50x200"
BIAF,2025-09-29,4.5,-14.93,7.08M,-84.04,1.06,,,,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,"Universe,MarketCap,YTD,MA50x200"
BIIB,2025-09-29,138.42,0.76,20.14B,-7.72,0.67,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)",Beta
BILL,2025-09-29,55.29,2.05,5.51B,-34.22,1.89,,,,SERVICES-PREPACKAGED SOFTWARE,"StochRSI,MA50x200"
BINI,2025-09-29,2.72,-17.07,1.66M,-99.93,,,,,MOTOR VEHICLES & PASSENGER CAR BODIES,"Universe,Volume,MarketCap,Beta,YTD,StochRSI"
BIO,2025-09-29,271.18,-0.07,7.34B,-16.86,0.95,,,,LABORATORY ANALYTICAL INSTRUMENTS,"Volume,Beta"
BIOA,2025-09-29,5.4,-0.37,194.31M,-2.88,,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,StochRSI"
BIOX,2025-09-29,1.48,-1.67,90.46M,-78.05,0.84,,,,"Bioceres Crop Solutions Corp is a fully integrated provider of crop productivity solutions, including seeds, seed traits, seed treatments, biologicals, high-value adjuvants, and fertilizers. The company has developed a multi-discipline and multi-product platform capable of providing solutions throughout the entire crop cycle, from pre-planting to transportation and storage. Some of the products offered by the company include fertilizers, inoculants, adjuvants, crop protection solutions, and seeds among others. Its operating segments are crop protection, which derives key revenue, seed and integrated products, and crop nutrition. Geographically, the majority of the company's revenue is generated from Argentina and the rest from Brazil, North America, Latin America, and other regions.","Universe,Volume,MarketCap,Beta,YTD,MA50x200"
BIP,2025-09-29,33.23,0.33,15.35B,4.3,1.07,,,,"Brookfield Infrastructure Partners LP is a Bermuda exempted limited partnership that owns and operates quality, long-life assets that generate stable cash flows, by virtue of barriers to entry or other characteristics that tend to appreciate in value over time. It focuses on acquiring infrastructure assets that have low maintenance capital costs and high barriers to entry. The company's segments consist of Utilities, Transport, Midstream, and Data. Geographically, it generates maximum revenue from USA and also has a presence in Australia, Colombia, United Kingdom, Brazil, United States of America, Chile, Peru, and other countries.","StochRSI,MA50x200"
BIPC,2025-09-29,41.37,0.96,4.88B,3.96,1.09,,,,"Brookfield Infrastructure Corp is an indirect subsidiary of the partnership of the diversified infrastructure owner and operators. Its business is comprised of a U.K. regulated distribution operation, a Brazilian regulated natural gas transmission operation and an international intermodal logistics operation. Geographically, the company generates a majority of its revenue from Brazil and rest from United Kingdom and the United States.",StochRSI
BIRD,2025-09-29,5.84,1.74,46.76M,-12.31,2.31,,,,APPAREL & OTHER FINISHD PRODS OF FABRICS & SIMILAR MATL,"Volume,MarketCap"
BIRK,2025-09-29,44.34,-1.27,8.26B,-22.6,,,,,"Birkenstock Holding PLC is a company that manufactures and sells footbed-based products, including sandals, closed-toe silhouettes, and other products, such as skincare and accessories, for everyday, leisure, and work. It sells its products through two main channels: business-to-business (B2B) which comprises sales made to established third-party store networks, and direct-to-consumer (DTC) which comprises sales made on globally owned online stores through the Birkenstock.com domain and sales made in Birkenstock retail stores. The company's reportable segments are based on its regional hubs and include: the Americas which is also its key revenue-generating segment; Europe; and Australia, Japan, India, China, and the United Arab Emirates (APMA).","Beta,MA50x200"
BITF,2025-09-29,2.79,10.04,1.40B,73.6,2.86,,,,"Bitfarms Ltd engaged in the cryptocurrency Mining industry mainly consists of selling its computational power used for hashing calculations for cryptocurrency mining in multiple jurisdictions. Its geographic operations are currently located in Canada, the United States, Argentina. It owns and operates server farms comprised of computers designed to validate transactions on the Bitcoin Blockchain.","Universe,MarketCap,YTD"
BIVI,2025-09-29,1.9,2.15,14.02M,-91.28,2.01,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,YTD,StochRSI,MA50x200"
BIYA,2025-09-29,0.57,-1.42,7.24M,-86.36,,,,,"Baiya International Group Inc is a company which operates through its subsidiary Gongwuyuan operates a cloud-based internet platform to provide one-stop crowdsourcing recruitment and SaaS-enabled HR solutions in the flexible employment marketplace. The Company's business is focused around on four primary services which are job matching services, entrusted recruitment services, project outsourcing services and abor dispatching services in the flexible employment market within China, mainly in the core manufacturing regions including the Pearl River Delta and Yangtze River Delta region.","Universe,Volume,MarketCap,Beta,YTD,MA50x200"
BJ,2025-09-29,92.69,-0.44,12.27B,5.09,0.33,,,,RETAIL-VARIETY STORES,"Beta,MA50x200"
BJDX,2025-09-29,1.52,1.69,2.23M,-66.92,0.57,,,,SURGICAL & MEDICAL INSTRUMENTS & APPARATUS,"Universe,MarketCap,Beta,YTD,MA50x200"
BJRI,2025-09-29,30.37,0.33,669.70M,-15.41,1.17,,,,RETAIL-EATING PLACES,"MarketCap,StochRSI,MA50x200"
BK,2025-09-29,109.35,-0.16,77.25B,41.26,0.92,,,,STATE COMMERCIAL BANKS,"Beta,StochRSI"
BKD,2025-09-29,8.26,-0.96,1.98B,63.24,1.03,,,,SERVICES-NURSING & PERSONAL CARE FACILITIES,"MarketCap,YTD,StochRSI"
BKE,2025-09-29,58.87,-1.55,3.06B,15.17,0.95,,,,RETAIL-FAMILY CLOTHING STORES,Beta
BKH,2025-09-29,61.09,0.3,4.44B,5.13,0.51,,,,ELECTRIC SERVICES,"Beta,StochRSI"
BKHA,2025-09-26,11.11,-0.05,46.17M,7.08,,,,,"BIOLOGICAL PRODUCTS, (NO DISGNOSTIC SUBSTANCES)","Volume,MarketCap,Beta,StochRSI"
BKKT,2025-09-29,25.91,44.33,286.02M,1.84,2.97,,,,FINANCE SERVICES,"MarketCap,StochRSI,MA50x200"
BKNG,2025-09-29,5474.6,-1.32,179.81B,11.15,1.03,,,,TRANSPORTATION SERVICES,"Volume,StochRSI"
BKR,2025-09-29,50.3,-0.44,49.81B,21.03,0.91,,,,OIL & GAS FIELD MACHINERY & EQUIPMENT,"Beta,StochRSI"
BKSY,2025-09-29,19.94,1.17,699.01M,86.53,2.33,,,,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"MarketCap,YTD,StochRSI"
BKTI,2025-09-29,81.75,1.7,300.11M,141.51,1.14,,,,RADIO & TV BROADCASTING & COMMUNICATIONS EQUIPMENT,"Volume,MarketCap,YTD,StochRSI"
BKU,2025-09-29,38.01,-1.5,2.90B,0.24,1.47,,,,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",MarketCap
BKV,2025-09-29,23.7,-1.04,2.03B,0.85,,,,,CRUDE PETROLEUM & NATURAL GAS,"Volume,MarketCap,Beta,StochRSI"
BKYI,2025-09-29,0.75,-0.76,5.17M,-46.19,0.55,,,,SERVICES-PREPACKAGED SOFTWARE,"Universe,Volume,MarketCap,Beta,MA50x200"
BL,2025-09-29,52.76,-0.15,3.27B,-12.55,1.42,,,,SERVICES-PREPACKAGED SOFTWARE,
BLBD,2025-09-29,57.57,-0.66,1.84B,48.95,1.22,,,,TRUCK & BUS BODIES,MarketCap
BLBX,2025-09-29,6.13,-2.12,24.07M,159.96,0.57,,,,METAL MINING,"Volume,MarketCap,Beta,YTD,StochRSI"
BLCO,2025-09-29,14.95,3.1,5.13B,-16.94,1.06,,,,OPHTHALMIC GOODS,
BLD,2025-09-29,392.34,-0.27,11.07B,26.44,1.53,,,,CONSTRUCTION - SPECIAL TRADE CONTRACTORS,Volume
BLDE,2025-08-28,4.73,3.28,,11.29,1.81,,,,,"Universe,MarketCap,StochRSI"
BLDP,2025-09-29,2.73,-0.76,826.59M,48.32,1.79,,,,"Ballard Power Systems Inc is engaged in design, development, manufacture, sale and service of proton exchange membrane (""PEM"") fuel cell products for a variety of applications, focusing on power products for bus, truck, rail, marine, stationary and emerging market (material handling, off-road and other) applications, as well as the delivery of services, including technology solutions, after sales services and training. A fuel cell is an environmentally clean electrochemical device that combines hydrogen fuel with oxygen (from the air) to produce electricity. Key geographical revenue is derived from Poland followed by United States, United Kingdom, and other countries.","Universe,MarketCap,StochRSI"
BLDR,2025-09-29,119.71,1.28,13.07B,-15.69,1.49,,,,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,
BLFS,2025-09-29,24.82,0.49,1.18B,-5.19,1.8,,,,ELECTROMEDICAL & ELECTROTHERAPEUTIC APPARATUS,"Volume,MarketCap"
BLFY,2025-09-29,9.19,-1.82,201.20M,-3.06,0.74,,,,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Volume,MarketCap,Beta,MA50x200"
BLIN,2025-09-29,1.37,1.16,16.35M,-14.65,0.65,,,,SERVICES-PREPACKAGED SOFTWARE,"Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
BLIV,2025-09-29,3.72,6.09,38.14M,5.19,,,,,"BeLive Holdings is a holding company. The company is a technology solution provider for live commerce and shoppable short videos. The company enables its customers in interactive and immersive live and video commerce to the online businesses, and enables customers to create videos for more traffic and good shopping experiences on their platforms. The company generates revenue from the provision of BeLive White-Label Solutions and BeLive SaaS Solutions.","Universe,Volume,MarketCap,Beta,MA50x200"
BLK,2025-09-29,1175.98,1.69,179.08B,15.59,1.11,,,,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES","Volume,StochRSI"
BLKB,2025-09-29,63.2,-1.51,3.11B,-14.27,0.83,,,,SERVICES-PREPACKAGED SOFTWARE,"Volume,Beta,MA50x200"
BLMN,2025-09-29,7.33,1.24,615.90M,-38.71,1.05,,,,RETAIL-EATING PLACES,"MarketCap,StochRSI,MA50x200"
BLMZ,2025-09-29,0.19,-3.24,2.89M,-67.39,,,,,"Harrison Global Holdings Inc Formerly BloomZ Inc operates as an audio-producing and voice actor managing company. The company provides audio production services and voice-acting educational services in Japan. The business lines of the company are the audio production business, the VTuber management business, and the voice actor workshop business. The audio production comprises producing audios for animations and video games using dubbing, BGM producing, and mixing techniques; the Vtuber management business creates motion-capture technology for streamers to provide the voice to stream real-time videos featuring human facial expressions and gestures; and the voice actor workshop provides practical voice acting services.","Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
BLND,2025-09-29,3.79,0.8,975.06M,-1.3,1.73,,,,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.","Universe,MarketCap"
BLNE,2025-09-29,3.8,-5.94,79.23M,-60.0,,,,,MORTGAGE BANKERS & LOAN CORRESPONDENTS,"Universe,MarketCap,Beta,YTD,StochRSI,MA50x200"
BLNK,2025-09-29,1.72,13.16,173.90M,14.67,2.16,,,,MISCELLANEOUS TRANSPORTATION EQUIPMENT,"Universe,MarketCap,StochRSI"
BLSH,2025-09-29,63.01,0.66,9.15B,-7.35,,,,,"Bullish is an institutionally focused global digital asset platform focused on providing market infrastructure and information services. Its objective is to provide mission critical products and services that are designed to help institutions grow their businesses, empower individual investors, and drive the adoption of stablecoins, digital assets, and blockchain technology. It expanded its product offering to provide trusted insights, authoritative news, data, indices and transparent analysis to the digital assets industry while facilitating partnerships, investment opportunities, and community engagement through its flagship Consensus conference.",Beta
BLUW,2025-09-29,9.97,0.0,322.11M,-0.09,,,,,BLANK CHECKS,"Volume,MarketCap,Beta"
BLX,2025-09-29,46.26,-0.94,1.74B,30.09,0.89,,,,"Banco Latinoamericano de Comercio Exterior SA provides financial solutions to financial institutions, companies, and investors doing business in Latin America, supporting trade and regional integration. The Bank provides foreign trade solutions to a select client base of American financial institutions and corporations and has developed a network of correspondent banking institutions with access to the international capital markets. It has two business segments: the Commercial Business Segment and the Treasury Business Segment. The majority of its revenue is generated from the Commercial Business segment.","Volume,MarketCap,Beta"
BLZE,2025-09-29,9.72,1.89,538.65M,59.34,1.67,,,,SERVICES-PREPACKAGED SOFTWARE,"MarketCap,YTD"
BMBL,2025-09-29,6.32,0.56,653.19M,-20.77,1.5,,,,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",MarketCap
BMEA,2025-09-29,2.06,-1.67,124.97M,-44.04,1.29,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,StochRSI,MA50x200"
BMGL,2025-09-29,1.81,3.12,33.06M,-59.12,,,,,"Basel Medical Group Ltd provides general and subspecialized orthopedic, trauma and sports medicine services such as knee/hip replacements, sports medicine/surgery, spine surgery, foot/ankle surgery and minimally invasive orthopedic procedures, as well as neurosurgical treatments. Key revenue is generated from Singapore.","Universe,Volume,MarketCap,Beta,YTD,MA50x200"
BMHL,2025-09-29,3.5,-3.85,92.89M,-12.5,,,,,"Bluemount Holdings Ltd through its operating subsidiaries, it is a Hong Kong-based consulting and advisory and financial services provider, as well as trader of commodities such as luxury timepieces. The financial services includes underwriting and placing services, securities dealing and brokerage services, and asset management services. It provides comprehensive consulting and advisory services on business development strategies to its diverse clientele. Generally, the company provides consulting and advisory business for the following segments: Corporate Finance; and Strategic Communications.","Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
BMI,2025-09-29,176.65,0.15,5.20B,-16.55,1.04,,,,TOTALIZING FLUID METERS & COUNTING DEVICES,"Volume,StochRSI,MA50x200"
BMNR,2025-09-29,52.84,4.63,8.76B,654.86,1.91,,,,FINANCE SERVICES,YTD
BMO,2025-09-29,130.09,-0.41,93.57B,34.06,0.83,,,,"COMMERCIAL BANKS, NEC",Beta
BMR,2025-09-29,3.15,6.79,45.81M,-33.68,1.46,,,,"Beamr Imaging Ltd is a video technology and image science software company. It is an innovator of video encoding, transcoding, and optimization solutions that enable high quality, performance, and unmatched bitrate efficiency for video and images. The company is conducted through one operating segment, the optimization technology for video and photo compression. The company operates in Israel, the United States, and the rest of the world, it derives a majority of its revenue from the United States.","Universe,Volume,MarketCap,StochRSI"
BMRA,2025-09-29,2.83,0.71,7.91M,16.75,0.87,,,,IN VITRO & IN VIVO DIAGNOSTIC SUBSTANCES,"Universe,MarketCap,Beta,MA50x200"
BMRC,2025-09-29,24.37,-1.89,400.55M,3.66,0.97,,,,STATE COMMERCIAL BANKS,"Volume,MarketCap,Beta"
BMRN,2025-09-29,54.29,0.82,10.34B,-18.35,0.65,,,,PHARMACEUTICAL PREPARATIONS,"Beta,StochRSI,MA50x200"
BMY,2025-09-29,44.13,0.02,89.80B,-22.29,0.3,,,,PHARMACEUTICAL PREPARATIONS,"Beta,MA50x200"
BN,2025-09-29,69.17,1.1,102.35B,20.19,1.58,,,,"Brookfield Corp is an investment firm focused on building long-term wealth for institutions and individuals. It has seven operating segments: Asset Management, Wealth Solutions, Renewable Power and Transition, Infrastructure, Private Equity, Real Estate and Corporate Activities. It invests in real assets that form the backbone of the economy to deliver risk-adjusted returns to stakeholders. The company generates the majority of its revenue from Asset Management. It has a geographic presence in the UK, the United States, Australia, Canada, Brazil, India, Colombia, Germany, Other Europe, Other Asia, and other countries.",
BNAI,2025-09-29,0.29,-2.48,12.84M,-72.78,,,,,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,"Universe,Volume,MarketCap,Beta,YTD,MA50x200"
BNC,2025-09-29,7.88,1.55,334.32M,-55.61,,,,,"CEA Industries Inc through its subsidiary is focused on selling environmental control and other technologies and services to the Controlled Environment Agriculture (""CEA"") industry. The company provides integrated mechanical, electrical, and plumbing (""MEP"") engineering design, proprietary and curated environmental control equipment, and automation offerings that serve the CEA industry. The Company has one operating segment that is dedicated to the manufacture and sale of its products.","MarketCap,Beta,YTD"
BNED,2025-09-29,9.83,0.31,333.73M,-3.25,1.07,,,,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,"Volume,MarketCap,StochRSI,MA50x200"
BNGO,2025-09-29,1.7,2.47,16.07M,-88.9,2.08,,,,LABORATORY ANALYTICAL INSTRUMENTS,"Universe,Volume,MarketCap,YTD,MA50x200"
BNL,2025-09-29,18.0,-0.69,3.43B,14.69,0.68,,,,REAL ESTATE INVESTMENT TRUSTS,Beta
BNRG,2025-09-29,1.78,-7.77,6.18M,-77.32,0.9,,,,"Brenmiller Energy Ltd is a technology company that develops, produces, markets, and sells thermal energy storage. The technology of the company allows electrification and decarbonization of the industrial industry sector for integration with renewable energy sources and further reduction of carbon emissions.","Universe,Volume,MarketCap,Beta,YTD,MA50x200"
BNS,2025-09-29,64.78,0.61,80.00B,20.78,0.73,,,,STATE COMMERCIAL BANKS,Beta
BNT,2025-09-29,69.09,0.95,19.45B,20.39,,,,,"Brookfield Wealth Solutions Ltd, formerly Brookfield Reinsurance Ltd operates a capital solutions business providing insurance and reinsurance services to individuals and institutions. Through its subsidiary, the company offers a broad range of insurance products and services, including life insurance and annuities, and personal and commercial property and casualty insurance. It is organized into three reporting segments: Direct Insurance, Reinsurance, and Pension Risk Transfer (PRT).","Volume,Beta"
BNTC,2025-09-29,13.66,-0.29,359.63M,13.08,0.46,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,StochRSI"
BNZI,2025-09-29,2.69,-2.71,12.67M,-82.61,,,,,SERVICES-PREPACKAGED SOFTWARE,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
BOC,2025-09-29,13.16,0.44,412.04M,-6.28,0.92,,,,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,"Volume,MarketCap,Beta,MA50x200"
BODI,2025-09-29,5.99,0.34,42.24M,-2.76,,,,,RETAIL-NONSTORE RETAILERS,"Volume,MarketCap,Beta"
BOF,2025-09-29,2.12,-1.4,25.33M,16.48,1.09,,,,FOOD AND KINDRED PRODUCTS,"Universe,Volume,MarketCap"
BOH,2025-09-29,65.48,-0.49,2.62B,-6.52,1.11,,,,STATE COMMERCIAL BANKS,"Volume,MarketCap,MA50x200"
BOKF,2025-09-29,111.61,-1.09,7.18B,4.52,0.98,,,,NATIONAL COMMERCIAL BANKS,"Volume,Beta,StochRSI"
BOLD,2025-09-29,1.23,7.46,25.52M,-55.13,,,,,PHARMACEUTICAL PREPARATIONS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
BOLT,2025-09-29,5.43,0.18,10.40M,-52.37,0.84,,,,PHARMACEUTICAL PREPARATIONS,"Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
BON,2025-09-29,1.96,2.09,7.21M,-95.35,0.46,,,,"Bon Natural Life Ltd is engaged in the manufacturing of personal care ingredients, such as plants extracted fragrance compounds to perfume and fragrance manufacturers, natural health supplements such as powder drinks and bioactive food ingredient products mostly used as food additives and nutritional supplements. Xi'an App-Chem is devoted to providing high quality and competitive prices and a stable supply of products and services for the functional food, personal care, natural medicine and other industries. It provides these products and services for third party customers, as well as for its own proprietary brands. The company has its geographic presence in PRC and in Overseas. The company derives maximum revenue from Bioactive food ingredients.","Universe,Volume,MarketCap,Beta,YTD,MA50x200"
BOOM,2025-09-29,8.26,0.81,168.56M,14.83,1.33,,,,MISCELLANEOUS PRIMARY METAL PRODUCTS,"Volume,MarketCap,StochRSI,MA50x200"
BOOT,2025-09-29,165.03,-2.46,5.17B,8.13,1.52,,,,RETAIL-SHOE STORES,
BORR,2025-09-29,2.77,-5.46,838.64M,-31.6,1.33,,,,Borr Drilling Ltd is a drilling contractor that owns and operates jack-up rigs of modern and high-specification designs providing drilling services to the oil and gas exploration and production industry. The company operates a fleet of around 16 jack-up drilling rigs. Geographically the activities are carried out through Norway.,"Universe,MarketCap"
BOSC,2025-09-29,4.75,-0.73,29.56M,43.35,0.5,,,,"BOS Better Online Solutions Ltd is a provider of Intelligent Robotics and Supply Chain solutions for enterprises. The company manages its business in three reportable divisions: the Intelligent Robotics segment, the RFID Division segment, and the Supply Chain Solutions segment. The majority of revenue derives from Supply Chain Solutions which distributes electro-mechanical components, mainly to customers in the aerospace, defense, and other industries, and is a supply chain service provider for aviation customers that seek a comprehensive solution to their components-supply needs. Geographically company derives the majority of its revenue from Israel.","Universe,Volume,MarketCap,Beta,StochRSI"
BOTJ,2025-09-29,15.72,-0.13,71.51M,2.41,0.15,,,,STATE COMMERCIAL BANKS,"Volume,MarketCap,Beta,StochRSI"
BOW,2025-09-29,26.28,-3.67,948.84M,-23.47,,,,,"FIRE, MARINE & CASUALTY INSURANCE","Volume,MarketCap,Beta,MA50x200"
BOWN,2025-07-15,9.19,0.55,27.52M,-16.38,,,,,"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS","Volume,MarketCap,Beta,StochRSI"
BOX,2025-09-29,32.41,0.12,4.69B,3.41,0.77,,,,SERVICES-PREPACKAGED SOFTWARE,"Beta,MA50x200"
BOXL,2025-09-29,2.5,-4.21,10.41M,25.0,1.16,,,,SERVICES-EDUCATIONAL SERVICES,"Universe,MarketCap,StochRSI,MA50x200"
BPOP,2025-09-29,126.88,-0.91,8.65B,36.8,1.11,,,,STATE COMMERCIAL BANKS,"Volume,StochRSI"
BPRN,2025-09-29,32.02,-0.71,217.62M,-5.57,0.61,,,,STATE COMMERCIAL BANKS,"Volume,MarketCap,Beta"
BPYPM,2025-09-29,16.48,0.55,437.90M,3.84,0.48,,,,Brookfield Property Preferred LP is an asset management company.,"Volume,MarketCap,Beta,StochRSI"
BPYPN,2025-09-29,13.73,1.1,157.90M,7.35,0.45,,,,"Brookfield Property Partners LP owns, operates, and invests in commercial properties in North America, Europe, Australia, and Brazil. The company focuses on being an owner and operator of real estate, providing investors with diversified exposure to some of the iconic properties and acquiring high-quality assets at a discount to replacement cost or intrinsic value. Its operating segment includes Core Office, Core Retail, LP Investments, and Corporate Segments. The company operates in various sectors such as the office sector, retail sector, industrial, multifamily, hospitality, triple net lease, and corporate sector. It generates a majority of revenue from the LP Investments segment.","Volume,MarketCap,Beta,StochRSI"
BPYPO,2025-09-29,15.14,0.8,151.40M,8.1,0.57,,,,"Brookfield Property Partners LP owns, operates, and invests in commercial properties in North America, Europe, Australia, and Brazil. The company focuses on being an owner and operator of real estate, providing investors with diversified exposure to some of the iconic properties and acquiring high-quality assets at a discount to replacement cost or intrinsic value. Its operating segment includes Core Office, Core Retail, LP Investments, and Corporate Segments. The company operates in various sectors such as the office sector, retail sector, industrial, multifamily, hospitality, triple net lease, and corporate sector. It generates a majority of revenue from the LP Investments segment.","Volume,MarketCap,Beta,StochRSI"
BQ,2025-09-29,10.32,252.7,8.43M,171.65,0.58,,,,"Boqii Holding Ltd operates in the business of selling pet products through online stores. The store provides pet foods, health products, pet grooming products, pet bathing products, pet toys, fish tank, aquatic fertilizer, temperature control equipment, oxygen pump and other related products. Also, the company sells its products through offline channels to pet stores and hospitals.","MarketCap,Beta,YTD,StochRSI"
BR,2025-09-29,236.99,0.42,27.64B,4.48,0.8,,,,"SERVICES-BUSINESS SERVICES, NEC",Beta
BRAG,2025-09-29,3.16,8.22,74.31M,-13.19,0.71,,,,"Bragg Gaming Group Inc is predominantly a B2B online gaming technology platform and casino content aggregator. The Company's proprietary studios offer high-performing, data-driven casino gaming titles from in-house brands Wild Streak, Spin, Atomic Slot Lab, Indigo Magic, and Oryx Gaming. It offers a full range of games including slot games, table games, card games, video bingo, scratch card games, virtual sports, and live dealer games which are featured on the company's PAM platform and also available for use on other gaming platforms offered by third parties. Geographically, the company generates a majority of its revenue from the Netherlands and the rest from Curacao, Malta, the United States, Croatia, and other regions.","Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
BRBR,2025-09-29,36.78,-0.04,4.64B,-50.68,0.91,,,,FOOD AND KINDRED PRODUCTS,"Beta,YTD,StochRSI,MA50x200"
BRBS,2025-09-29,4.25,-1.5,397.98M,28.94,0.98,,,,STATE COMMERCIAL BANKS,"Universe,Volume,MarketCap,Beta,StochRSI"
BRC,2025-09-29,76.91,-0.74,3.65B,4.63,0.68,,,,MISCELLANEOUS MANUFACTURING INDUSTRIES,"Volume,Beta"
BRCC,2025-09-29,1.56,-0.13,177.56M,-51.46,1.29,,,,BEVERAGES,"Universe,Volume,MarketCap,YTD,MA50x200"
BRDG,2025-08-29,9.6,-0.41,,17.22,1.19,,,,,"MarketCap,StochRSI"
BREA,2025-09-29,28.0,13.31,59.67M,256.69,0.88,,,,"Brera Holdings PLC focused on expanding social impact football by developing a international portfolio of emerging football clubs with increased opportunities to earn tournament prizes, gain sponsorships, and provide other professional football and related consulting services.","MarketCap,Beta,YTD,StochRSI"
BRFH,2025-09-29,3.64,-0.31,58.18M,46.72,0.43,,,,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES","Universe,Volume,MarketCap,Beta,StochRSI"
BRIA,2025-09-29,2.18,3.58,52.50M,-44.65,,,,,"BrilliA Inc is engaged in business of sales and marketing of lingerie's products including Brassiere, Top, Panty, Swimsuit, Dress and Bodysuit . Geographically, it operates in North America, European, Asia Pacific, Latin America, Middle East and Others.","Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
BRID,2025-09-29,7.94,-0.93,72.71M,-26.25,0.34,,,,SAUSAGES & OTHER PREPARED MEAT PRODUCTS,"Volume,MarketCap,Beta,StochRSI,MA50x200"
BRKL,2025-08-29,10.95,-0.64,,-5.6,1.12,,,,,"MarketCap,StochRSI"
BRKR,2025-09-29,30.95,-0.27,4.71B,-47.36,1.09,,,,LABORATORY ANALYTICAL INSTRUMENTS,"StochRSI,MA50x200"
BRLS,2025-09-29,2.28,-1.32,49.39M,-61.56,,,,,FOOD AND KINDRED PRODUCTS,"Universe,Volume,MarketCap,Beta,YTD,StochRSI,MA50x200"
BRLT,2025-09-29,2.09,-2.11,31.62M,-2.79,1.07,,,,"JEWELRY, SILVERWARE & PLATED WARE","Universe,Volume,MarketCap"
BRN,2025-09-29,1.31,-0.76,13.30M,-14.94,0.43,,,,CRUDE PETROLEUM & NATURAL GAS,"Universe,Volume,MarketCap,Beta,StochRSI,MA50x200"
BRO,2025-09-29,93.36,-0.45,30.93B,-7.14,0.61,,,,"INSURANCE AGENTS, BROKERS & SERVICE","Beta,StochRSI,MA50x200"
BROS,2025-09-29,52.48,-1.17,6.74B,-6.8,1.53,,,,RETAIL-EATING & DRINKING PLACES,MA50x200
BRR,2025-09-29,10.12,0.05,344.13M,-2.55,,,,,Columbus Circle Capital Corp I is a blank check company.,"Volume,MarketCap,Beta,StochRSI"
BRSL,2025-09-29,17.3,0.96,3.24B,4.19,,,,,"Brightstar Lottery PLC is a gaming company that delivers entertaining and responsible gaming experiences for players across all channels. The company operates into single segment namely Gaming & Digital. Geographically, it derives a majority of revenue from the United States. The company also has its presence in Italy, Rest of Europe and Other countries.","Beta,StochRSI"
BRSP,2025-09-29,5.57,-1.24,733.17M,-1.94,1.19,,,,REAL ESTATE INVESTMENT TRUSTS,MarketCap
BRT,2025-09-29,15.76,0.38,282.29M,-10.66,0.86,,,,REAL ESTATE INVESTMENT TRUSTS,"Volume,MarketCap,Beta,MA50x200"
BRTX,2025-09-29,1.44,0.35,11.41M,-3.69,1.14,,,,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","Universe,Volume,MarketCap,MA50x200"
BRX,2025-09-29,27.47,-0.04,8.41B,-0.22,0.78,,,,REAL ESTATE INVESTMENT TRUSTS,Beta
BRY,2025-09-29,3.85,-3.99,311.18M,-10.05,1.0,,,,CRUDE PETROLEUM & NATURAL GAS,"Universe,MarketCap,StochRSI"
BRZE,2025-09-29,32.02,1.39,3.51B,-26.2,1.89,,,,SERVICES-PREPACKAGED SOFTWARE,MA50x200
BSAA,2025-09-26,10.05,0.1,74.36M,0.45,,,,,BEST SPAC I Acquisition Corp is a blank check company.,"Volume,MarketCap,Beta"
BSBK,2025-09-29,8.99,-0.11,113.75M,19.87,0.14,,,,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED","Volume,MarketCap,Beta"
